ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	El profesor lee las palabras pensando en cada una de ellas, luego pídeles a los niños que pregunten qué significado tienen: yo soy rojo, rojo y de lejos huelo dulce, dulce y muy jugoso, ¿estoy cocido?	Axeamisnin westiorabo shinanxon yoiti wishabo yoyo akai, jainxon bakebo yokati jawe yoi ikarin ixon: ea riki joshinax panshin joshintanishaman, ochokeaxbi inin poatai, kokoa batashaman, kikin jene, xakixon xeatiatiribi ¿tsoarin ea?
ShaShiYaYi 	al atardecer ya había salido el hombre	Moa yame pochinikon ikentianra ika iki ja joni manoti
ShaShiYaYi 	de qué formas nos habla	Jaskara jisabo yoikin noa onamai
ShaShiYaYi 	si alguno de ustedes quiere hacer un poco de ruido y echarlo a perder	Jawetianki poikasai iamax jisonkasai jan aka tiai pikokin, tawa maxen sereseretani tsomamaxon
ShaShiYaYi 	después de explicar el anciano salen los niños del aula	Moa axeamisnin jato yoiona pekao bakebo pikokanai jaton axetixobomeax
ShaShiYaYi 	de la misma manera preparan hilos para lavar la manta, lana y otras cosas	Jaskaribira yoman akanai, jan manta, xopo maiti, rakoti itan wetsa jawekibo ati
ShaShiYaYi 	después de escuchar cómo deben realizar el trabajo, recorta el cuaderno y amárralo con hilo, luego coge diferentes hojas de plantas y pégalas en uno, dos, tres, cuatro y cinco, luego escribe en el cuaderno la cantidad de hojas que ha salido	Jaskakin tee ati yoiya ninkaxon, kirika xatexon pikoa yomaman nexawe, jainxon mesko rao peibo bixon westiora, rabe, kimisha, chosko itan pichika pei taxnanwe, jainxo peibaon jane wishaxon topona jati paketa wishawe
ShaShiYaYi 	colgaron un árbol y lo colgaron de un lado a otro	Tsatsitaxo Tsatsitaxora westiora jiwi jakonshamaankin norexon akana iki
ShaShiYaYi 	y vio que no había allí nadie que no pudiera abrir el sepulcro ni mirar en él	Jainxon oinaki moa mari joni yama, ani jiwi kinimeran moa jikia
ShaShiYaYi 	Tenemos también un altar del cual no tienen nada que ver con el altar.	Meskotibo noa yoyo ikaibo: Shipibo: Konibo: Pishkibo:neo Xetebo: neno neno 37 Non onantibo: - Tekibora jabicho ixon noa jawe yoiamai
ShaShiYaYi 	así son las plantas del jacob y de la tierra	Jaskaribironki jakana iki yami xetan itan mabocho pian yomeraibo
ShaShiYaYi 	Porque los hijos de Leví que reciben el oficio de sacerdote, tienen mandamiento en los días de reposo,	YIN JONIB Yine jonibo riki moatianbi onankana, ononma jonibo raenankasbo, jawetianbi sina sinaisma jonibo
ShaShiYaYi 	¿Adónde vamos nosotros?	¿Yomeraiki noa jaweyabo kati iki?
ShaShiYaYi 	ámame el dedo y no me sientas pronto curado	Ani riki nokon tsewe, ishton benxoti jisama
ShaShiYaYi 	tres de ellos murieron	Jinoaxki ika iki jaa kimishabi mawati
ShaShiYaYi 	al ir a pescar a la orilla del lago , se ponían a pescar con un sombrero, un sombrero, un remolino, un paiche y un bastón	Maxko yapa pikaskin yomerai kaxon tsakakatikanai : koyaparo, payari, main, bawin , moxobaton, asapa
ShaShiYaYi 	si no quieres leer mira cómo está escrito	Neteshamaxon yoyo axon oinwe jawekeska wisharin ixon
ShaShiYaYi 	escribe aquí lo que parece	Jainxon jaskarashaman ja jisa wisha neno wishawe
ShaShiYaYi 	Ahora bien, ¿de qué manera podemos nosotros, los que vivimos en la oscuridad, vivir en tinieblas?	¿Non mein jawekeskaaxon jaskarabo onanshokoti iki?
ShaShiYaYi 	l les hizo señas para que se callaran, y los soltó.	Jatian maxokan jato jen aká iki, ¡Ea kekexkanwe! aká iki jato
ShaShiYaYi 	vuelve a leer lo que primero dices y así lo harás	Jakiribi min reken akin wisha yoyo awe jaskaaxon min jakon akin aribanon
ShaShiYaYi 	el total del total es cierto que el padre de jesús lanzó tres machetes por cada uno 180 y tres por cada uno de sus cabellos	Jati paketa: Ikonmein Korin Bean papan kimisha machito kopi 180 soro potake itan kimisha yami kopi 120 soro
ShaShiYaYi 	haz diferentes comentarios	Yokabo aki jaskati yoyo iwe
ShaShiYaYi 	¿Dónde están los que ves?	¿Jaweranobo ikanaiki min oinai?
ShaShiYaYi 	dos son son los que dan testimonio en la tierra de los hombres; uno es el que da testimonio de dos cosas.	Wetsatianbora non wishai rabé joi jabichobo.Neskara: joxo shino, roo paranata, ronon ewa, Mawá Yoshin Ikaxbira jake non joi meran moatianbi biananamaa janebo westíora joi- bicho keská akin wishati, rabé joinkoniax pikota ikebi
ShaShiYaYi 	escucha la lectura del profesor	Axeamisnin yoyo akai ninkawe
ShaShiYaYi 	muchos pajaritos han matado a la gallina de mamá	Titan atapa awin reteara shimon icha ike
ShaShiYaYi 	el nombre de los hombres es jesús	Shipibo jonibaon janeronki pikota iki shipi yoinainkoniax
ShaShiYaYi 	¿Qué debemos hacer para preparar las piedras?	¿Xobo anoxonki non jawebo ati iki?
ShaShiYaYi 	¿Cuántas semillas juntan todos?	¿Jaweti beromein tsinkike jatibiain?
ShaShiYaYi 	mira lo que has dicho	Jaskatiki iamax jaskatimaki yoyo iki mia ika ixon oinwe
ShaShiYaYi 	después de leer una nueva versión, se pueden encontrar más cosas	Meskokeska wishabo yoyo axonra, icha bena jawekibo non onanai
ShaShiYaYi 	ese es el que han preparado	Ja riki masen toexon akana
ShaShiYaYi 	el maestro explica la parábola	Jaskaaxon yomerati onan yoi
ShaShiYaYi 	¿Seria bueno?	¿Jakonmein iti iki?
ShaShiYaYi 	recogí semillas para que los niños contaran	Enra binon bimi tsamanke ja bakebaon toponti
ShaShiYaYi 	escribe al respecto	Ja yokabo yoikin wishawe
ShaShiYaYi 	allí he visto una fiesta grande y me preparas un masaje para que la madre me dé alegría	Jainra en oinke jaskaakin ani pishta akanai, ea atsa xeatiaxonwe tita, en jato rarokinon- akin
ShaShiYaYi 	Todos piensan: ¿Por qué la venta, el tallo, la fruta, la bolsa y los bienes de los otros?	Jatixonbi shinankanai: ¿Jaweakiakanai marókenti, tason, kochara, pisha itan wetsamaroa jawekibo payoketian?
ShaShiYaYi 	antes de que cante el libro, lee lo que dice el profesor	Jaskaaxon mapo atiki ika yoyo awe Yoyo akamatianbi wishaki yoyo iwe
ShaShiYaYi 	ahora que ya somos escritores todo lo que tenemos que hacer lo tenemos que hacerlo en la escritura	Jakopi, rama moa wishaibo ixon jatibi non onan shinanbo kirikanin non akanti jake moa yoyo iresama
ShaShiYaYi 	después de descansar el anciano puede hacer todo lo que quiera	Moa sama seneanka pekaora yobekan ati atipanke jatibi jaweki ja akasaibo
ShaShiYaYi 	¿Por qué no les llevamos estas palabras?	¿Jaweatimain neskara wishabo non jato bomati iki?
ShaShiYaYi 	el dedo gordo de su madre	Jan namamea xeta joyota
ShaShiYaYi 	él es chico y también grande	Jarake maxko itan anichaaboribi
ShaShiYaYi 	le echan la saliva y le echan hojas de pino	Jara akanai kachiokea papixon bekin kantsin pei nabiroaxon
ShaShiYaYi 	ahora escoge uno de los dibujos que más te guste	Rama westiora ribojo min ken katowe
ShaShiYaYi 	Miren! Yo estoy a la puerta y llamo. ¡Miren! El Señor está cerca de mí.	Jaskaketianki neino yosin yoia -jaa riki nokon jone pia, janra en eki ramitaibo tsakai- akin
ShaShiYaYi 	porque tienen que dar y vender	Icha yoa banaya ikaxra menianankanai itanribi marokanai
ShaShiYaYi 	Escribe, pues, lo que has visto, lo que está sucediendo y lo que sucederá después de esto.	Rama wishawe moa jaya keyonoxon wetsa pein, min joi yoikana wisha, min oinbokin benxoa keska akin
ShaShiYaYi 	y se quedó con el nombre de jaguar	Jainoaxronki baneta iki jawen jane kashinpo
ShaShiYaYi 	Con su cola arrastró la tercera parte de los árboles, y todo lo que había en ellos era de madera.	Neskaaxon akanai tawan chinikin, ja senentiainbi ja tawa poinkiain akanai pei netankin, ja ochokeabi ponte kaxon tsakati kopi
ShaShiYaYi 	¿Cuánto dinero queda de Mea?	¿Jaweti soroyaki Mea baneta?
ShaShiYaYi 	¿Cuáles son los animales que crían?	¿Jawerato yoinabaon bake bixonki aniakanai?
ShaShiYaYi 	¿Cómo es y cuándo es?	¿Jawekeska jisarin, itan jawetiorin?
ShaShiYaYi 	el hechicero vio las ramas de la sabana	Xetan Meninra xantokanmea abo oinke
ShaShiYaYi 	dibújense entre sí y únanse a la escritura	Wishi : " " Ja jane Jaskaakin wishati Ninkamati wishakin rabe tsakaya itan mapania akanwe
ShaShiYaYi 	cuando estaban borrachos les dijo vengo yo y les ayudo a que coman mi pan	Jatian yoia Neskati paenkanketianra ea joai nokon bakebo pikasaitian jato bixoni akinki aka iki, jaskaaxon oinaki wiso pishaya
ShaShiYaYi 	una sola palabra y luego otra	Westiora joibicho ikaxbi meskoti yoyo iti
ShaShiYaYi 	dobla lo que has dicho	Yoia joibo ribojo yoi ikaki mepinwe
ShaShiYaYi 	el profesor explica a los alumnos cómo deben preparar la comida con 38 Jane: 39 el profesor le explica a los niños cómo deben realizar el trabajo el profesor debe traer una chacra de chacra a orillas de la playa y también dos calabazas	Yoabo itan yobinbo banati 38 Jane: 39 Jain yoa banatibo Axeamisnin jaskaxon bakebobetan tee ati yoiya Axeamisnin westiora kirinakin wai aka moa banatires itan mashi jene kexa itina ribojanxon beai jaskaribiakin rabe masenribi
ShaShiYaYi 	para que el anciano no se extrañe	Jaskaaxon beyosanoxon
ShaShiYaYi 	mira si estás bien	Jakon akarin ixon oinwe
ShaShiYaYi 	A qué compararé la gente de este tiempo? ¿A qué se parece la gente de este tiempo?	¿Jawenboki yomerakatikanai yomerakatikanai shipibo jonibaon, shipibo jonibaon, janepakewe?
ShaShiYaYi 	de qué manera y por qué les dice que se ocupen de los asuntos públicos	Jaweskaxonki itan jawekopiki jemabaon jakoma jawekibo winokanaitian jato akinti iki ixon yoiai
ShaShiYaYi 	contando con nosotros lo que nos pasa	Noa winotai jawekibo shinanman toponti onanxon yoiyai
ShaShiYaYi 	este es el número uno de nosotros los que estamos hablando: estos son los Pishkis: nentos Xeters: estos 35 hermanos menores que tienen que escribir son de cristo	Meskotibo noa yoyo ikaibo: nato Shipibo: Konibo: nato Pishkibo: nento Xetebo: nato 35 Askahsamaankin wishati Joi tekibo riki taponki kataxkin wishatibo
ShaShiYaYi 	dicen que el chullachaqui se convierte en venado y da a luz que los confunde con lo que dicen	Choyachakironki ikai chaxoki yoimeti, jatoronki benomai, jawe yoianbo retekanaitia sinakin
ShaShiYaYi 	¿Cuántos mestizos no se pueden coger de la boca del niño y de la miel?	¿Jaweti soromein texemati iki mananxawe beten betan bawin kawa bixon?
ShaShiYaYi 	si hay algún otro huevo que pueda echarlo al agua	Jatibiribiboan jenenko potai wetsa bachi jan iti jaketian
ShaShiYaYi 	escribe la palabra grande después de que dios la haya escrito	Ja tsaka aka pekao ani joi tsosakan wishati iki
ShaShiYaYi 	¿Los he escuchado atentamente?	¿Onanti itan ninkatishamanki en jato ninkamaa?
ShaShiYaYi 	si la planta de un animal nos sirve para sembrar	Yoinabo rae atikopira noa rao peiboan nashiti jake
ShaShiYaYi 	A él se le ha dado el lugar de las hojas y el lugar de las hojas	Jaronkia iki pei papiabobiribi, wetsabokan wita papiaibiribi
ShaShiYaYi 	quiere una tinaja de agua para beber	Soi Samera kenai westiora chomo onpax wanin xeati ati
ShaShiYaYi 	también el anciano debe confeccionar una canasta	Ja mansian keonai yomamaribi westiora tanoniati keonti
ShaShiYaYi 	al ver el dibujo de mi papá le preguntó	Epan bichi jokaa oinxonra nawan yokake
ShaShiYaYi 	por eso caminaron sobre el bosque	Jaskara ointaananki tetebo nii oinbaini bokana iki
ShaShiYaYi 	haz diferentes preguntas y ¿cómo están explicando?	Yokabo yoiwe y ¿Jawekeska yoiki ikanai?
ShaShiYaYi 	si conoces esas cosas haz que escriban nuestros conocimientos para que no se acaben nuestras palabras y nuestros conocimientos	Ja jawekibo onanxon biaketanxon non onan shinanbo wishati jake non joi itan non axebo keyomatima kopi, non chini bakebaon onanti kopi
ShaShiYaYi 	en ese momento estaba cuidando a la viuda	Jaskati yakaketian moa japari benomata ainboan koirankatiai
ShaShiYaYi 	acuérdate de lo que has recibido y de lo que has recibido, y de lo que has recibido y oído	Jakopira non mia meniai, min axeamisnin mia akina jakon jawekibo oribo min onanborestikopi
ShaShiYaYi 	¿Dónde se recogen los huevos de carachama?	¿Jaweranoaboki ipo bachi bikanai?
ShaShiYaYi 	qué sucederá si no tenemos suficiente descanso	¿Jaweki winoti iki, samabo non senen-ayamaketian
ShaShiYaYi 	cuando el niño está recién nacido se le pone un poco de sal en la boca y comienza a echar espuma por la boca	Moa bake keaxki komon komon ipaketi, jatian jeneribiki tsosini peokoti
ShaShiYaYi 	dicen que por eso se fueron a la tierra para coger las hojas de las aves y echarlas al suelo	Jain kati kopikayaronki akana iki mesko noyai yoinabaon pei bikin peokin, jaa maitiain machankanti, jaskara kopiki iki mesko raniyabo maitibo ikatiai
ShaShiYaYi 	¿Dónde y cuándo sembraremos la yuca?	¿Jawerano itan jawetianki non atsa banai iki?
ShaShiYaYi 	en el aula hazles diferentes preguntas a los niños	Axeti xobonko iwexon mesko yokabo bakebo awe
ShaShiYaYi 	el je jesús se lo dio todo	Jatian Kabinbiri yoike jatiobires
ShaShiYaYi 	¿Qué nos puede causar dolor?	¿Jawebo noa ninkamaimein iki?
ShaShiYaYi 	Se ha abierto una puerta de par en par para el camino que conduce a la ciudad.	Wexa Soinra nami atanax joxon yoina namibo besheapakeai, jawen jemamea jonibo maromanoxon
ShaShiYaYi 	la mujer lo tomó de la mano y lo sopló	Joketianki ainbonin bixon soayona iki
ShaShiYaYi 	porque el padre de jacob es el hijo de jacob	Jawen papa mecha ika iketianronki jawen bake jaskaribi ika iki
ShaShiYaYi 	a leer la letra "K" y la letra "W" y a escribir la letra "X"	Ja "K" itan ja "W" chibanmakin yoyo ati, jainoax ashtaya "X" janshaman non joi wishati shinanxon aka
ShaShiYaYi 	para qué proteger nuestros bosques, nuestras tierras, nuestros lagos, ríos, vientos y animales	Ja axetibo Jawe jawekibaonki non niibo, maibo, ianbo, parobo, niwebo itan yoinabo ramiai onantanan shinanai jaskaaxon koiranti
ShaShiYaYi 	Todos han trabajado durante 40 horas, ¿cómo han trabajado cada uno?	Jatikaxbi teekanke 40 ora, ¿jaweti oraki teekana westiorabo?
ShaShiYaYi 	de la misma manera rodé todos los árboles de la misma clase	Jaskaribira en ribojanke jatibi jiwibo Tsoman itan Niman tsamana
ShaShiYaYi 	el brujo que conoce de estos árboles los mata a pesar de estar muy lejos	Nato jiwimea onana yobekan, kikinbires ochokeabi jato reteai
ShaShiYaYi 	¿Pueden ustedes ya contar hasta 1?	¿Matonki moa kaimati 1 topontiabo paketi atipana?
ShaShiYaYi 	ayúdame	emo iketian
ShaShiYaYi 	allí vas a encontrar a muchos maestros de la ley	Jainra min oini kai mesko jonibo yomerati onan- akin
ShaShiYaYi 	le preguntó de qué se trataba ese hombre	Jainoaki yokata iki -tsoarin nato joni jakoinra tariya itina- akin
ShaShiYaYi 	mira lo que está debajo	Jakoankin oinwe naman iká joibo
ShaShiYaYi 	haz un dibujo de lo que has pegado a tu aula para que puedas contar lo que has aprendido	Min axeti xobo keteaketana westiora jaweki katowe, jawen jisa mibe axeibo yoiti kopi
ShaShiYaYi 	Traje la bandera	Enra popó beke
ShaShiYaYi 	¿Por qué pueden pagar el dinero?	¿jawerato korikibaonki kopiati atipana?
ShaShiYaYi 	y bajó de la nube	Jainoaxki moa xonakameax ipakea iki
ShaShiYaYi 	mandemos a los trabajadores que trabajen y que vengan mañana a trabajar	Teekasaibo teeti Teekasai jonibo non kenamai bakish teeti bekanti
ShaShiYaYi 	por lo menos a él se le ocurrió echar a un joven	Jaa shokores oinaronki ika iki westiora joni bakeranonshokoki pikokawani
ShaShiYaYi 	la misma palabra sembramos 7 ik, 8 ik plátano, 18 ik aros, 4 ik y 25 tama	Kena Same Nonra banake 7 Ik kankan, 8 Ik paranta, 18 Ik aros, 4 Ik atsa jainoax 25 Ik tama
ShaShiYaYi 	nuestros padres solían burlarse de la gente burlona y acurrucada que la acompañaba	Non anibora ikatikanai yoakan meniananaibo itan akinananaibo, yobin joshinketiaan iamax satan iketian tsamaxon jaweki akaibo
ShaShiYaYi 	al ver esto el niño se pone de rodillas para curarlo	Neskatai oinxonra jaki koshonxon merayabaon bake benxoai
ShaShiYaYi 	la gente decía cosas diferentes	Joniboronki ika iki meskokeskaakin yomeraibo
ShaShiYaYi 	de Nexbada y de otros lugares	Nexbakamea itan wetsankoniaboribi
ShaShiYaYi 	Por lo cual él dijo: “ Escribe en un libro lo que has dicho ”.	Jaskara kopi yokata: Ja yokakana: Rama min shinanxon wishawe
ShaShiYaYi 	aquí tienes que pensar	Nenora min shinanabo ati iki
ShaShiYaYi 	entrégales a los niños el libro de trabajo y pregúntales: ¿qué están viendo?	Jan teeti kirika bakebo menixon yokawe: ¿jawe ribojoboki maton oinai?
ShaShiYaYi 	tráeme la comida que me diste para que sea un hombre	Mia joni ipainon min ea jawekiati bexonon
ShaShiYaYi 	explica las preguntas	Yokabo yoipakewe
ShaShiYaYi 	la planta del huevo de carachama fue a buscar hojas de plátano con cinco manos	Reshin Ratenra ipo bachi kawati mani pei bii kaxon pichika mekenya pionis pei beke
ShaShiYaYi 	después de recibir 40, finalmente 4 soro	Japekao bia 40, senentian bike 4 soro
ShaShiYaYi 	cada uno cuenta lo que ha contado de forma limitada	Tsonbi jakon-akin seneankin keyoyamaketian yoiti jain kamanres tsiniti keyota Tsiniti keyoketian, westiora westiorabaon ja xateshokoainoa topontibo toponpakekanai
ShaShiYaYi 	jesús salió corriendo detrás de la multitud	Kachiokeax pikoxon jonibo chibankin
ShaShiYaYi 	el profesor les explica a los niños que si los peces se marean también aparecen estos insectos, el nombre de la isla es catalán y garza, luego hazles preguntas	Axeamisnin bakebo onamai neskara isaboribira akai noa yapa paenaitian onamakin, ja isakan janeriki charax betan manxan, jainxon jato yokabo awe
ShaShiYaYi 	Su madre le dijo: « No tengas miedo. ¡No te des por vencido! ¡No te des por vencido!	Jaskatai oinxonronki jawen titan aka iki, ¡tsokasyamawe, ishtonbiresra mia axeyamai, akibi riki mia akin!
ShaShiYaYi 	el profesor Joshin es el encargado de confeccionar el diseño de la casa y lo ⁇ n para que se haga un collar de hilo	Joshin chitonti keneya Joshin chitontira akanai, moa joxo kerasai oinxon pokokin, yomaman keweanoxon
ShaShiYaYi 	ya lo hice y ahora viene	Moara en ake ramabira joai akin
ShaShiYaYi 	¿Por qué se preguntarán así los romanos?	¿Jawekopimein jaskaakin yokakanti iki Roya jonibaon?
ShaShiYaYi 	puedo salvar a personas, animales, cosas, lugares, mentes y costumbres	Irati atipanke jonibo, yoinabo, jawekibo, jain ikabo, shinanaibo, jainoax wetsaboribi
ShaShiYaYi 	sal al patio con una niña y adórnalos	Westiora bake ainbobetan bake benbo raotibo sawemaxon jeman pikokinxon jato masha ikinwe
ShaShiYaYi 	cómo se debe hacer el diseño	Jaskaakin kene ati
ShaShiYaYi 	agrupa a los niños en dos grupos y entrégales las diferentes cosas que han traído y haz que jueguen en ellos luego haz que los niños expliquen cómo han elaborado	Bakebo rabe tsama imaxon mesko jaweki beabo jato menixon jonii imawe, jainxon jaskati joniikanabo bakebo yoimawe
ShaShiYaYi 	el mestizaje es muy resbaloso y no dejan de crecer	Metsa Nimara kikin yobes iki, jawekiakanaitian mepiresai
