Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Mexican_constitution 	El ejercicio de las acciones que corresponden a la Nación, por virtud de las disposiciones del presente artículo, se hará efectivo por el procedimiento judicial; pero dentro de este procedimiento y por orden de los tribunales correspondientes, que se dictará en el plazo máximo de un mes, las autoridades administrativas procederán desde luego a la ocupación, administración, remate o venta de las tierras o aguas de que se trate y todas sus accesiones, sin que en ningún caso pueda revocarse lo hecho por las mismas autoridades antes que se dicte sentencia ejecutoriada. 	Nu ra t’̱ot’e ya thoki nuä ra m̱et’i ra xihmahai M’onda̱, di ge ̱u xi xa za̱ xa mhää nu ̱u m̱upia ka ra x̱eni, ge xi da hogi ra za̱ di mhääp̱u ra ts̱utbi; pe ge nu ra mhääp̱u ne ko ra ndä mhää ra nda nzaya p̱etsi ra ts̱edi da hoki, da hoki nu ra pa ä xa ts̱eki n’a nzänä, ya nzaya ngu kuati ẖem’i ge nu ̱u xi da hoki, ra kuati ẖem’i, ge xi da m’o ko cẖutho ya bojä ya jäi ne ra dehe nu ̱u to de ne ne kongotho ̱u p̱etsi, ne num̱u xta m’o ya hingi tsa̱ da kotsi ä xa hoki konge ya nza̱ya num̱u ya xa nseki ra gätsi thoki. 
Mexican_constitution 	VII. Se reconoce la personalidad jurídica de los núcleos de población ejidales y comunales y se protege su propiedad sobre la tierra, tanto para el asentamiento humano como para actividades productivas. 	VII. Xi da fädi ra za jäi ra ts̱utbi nu ya to nu ya xiki hoy m’ätha ne ya t’̱oẖo ne xi mhäädi nu ya m̱etis̱e di ge ya hoy, di ge ̱u ha da m̱ui pa da ẖo ya ngu ne ha da mpot’i. 
Mexican_constitution 	La ley protegerá la integridad de las tierras de los grupos indígenas. 	Ra hmända xi da madi ra gotho metsi ya ha̱i ya muntsi ya hoy ya muntsi jäi ma m’̱etho. 
Mexican_constitution 	La ley, considerando el respeto y fortalecimiento de la vida comunitaria de los ejidos y comunidades, protegerá la tierra para el asentamiento humano y regulará el aprovechamiento de tierras, bosques y aguas de uso común y la provisión de acciones de fomento necesarias para elevar el nivel de vida de sus pobladores. 	Ra hmända, xi da n’u ra za ne xi da jäpi da nte ra nzaki ha̱i ya m’atha ne ya hnini, ge xi da n’u ha da gohi ya ha̱i ya jäi p̱u ha da m̱ui ne xi da hoki dar za̱ pa xi da zipto ya hoy, t’̱oho ne ya dehe pa di tsi gotho ya pa ne xi da n’u pa da tẖegi ma ra pa ge ̱u te da ja mathoni pa xi da nte ra ts̱otse ra nzaki nu ka ya hnini. 
Mexican_constitution 	La ley, con respeto a la voluntad de los ejidatarios y comuneros para adoptar las condiciones que más les convengan en el aprovechamiento de sus recursos productivos, regulará el ejercicio de los derechos de los comuneros sobre la tierra y de cada ejidatario sobre su parcela. 	Ra hmända, da ne da n’u ko ra t’eke nuya jäi ̱u the ya hoy m’atha ne ya t’̱oẖo, pa da n’u ha da jäpi pa te di noki ̱u ne pa xi da zipto nu ̱u te jäp̱u di ge ̱u p̱etsi pa da ts’i, xi da n’u hangu ̱u p̱etsi nu ya jäi the hoy t’̱oẖo ne n’ango ya jäi the ha̱i m’atha. 
Mexican_constitution 	Asimismo establecerá los procedimientos por los cuales ejidatarios y comuneros podrán asociarse entre sí, con el Estado o con terceros y otorgar el uso de sus tierras; y, tratándose de ejidatarios, transmitir sus derechos parcelarios entre los miembros del núcleo de población; igualmente fijará los requisitos y procedimientos conforme a los cuales la asamblea ejidal otorgará al ejidatario el dominio sobre su parcela. 	Pa xi da n’u ha dinjap̱u pa di m’aap̱u nuya ha̱i m’atha ne ya hoi t’̱oẖo ge xi dar za̱, konge ra x̱eni hnini ne konge ra hñu da üni ra s̱eki pa xi da n’u te da hoki konge ra ha̱i, ne num̱u ge ̱u ya the ha̱i m’atha, xi da mhää pa da fädi ya m̱etsi di ge ya ha̱i konge ̱u ya muntsi ẖu ka ra hnini, ne xi da hiandi pa da hoki ne nda ya ẖem’i üdi pa di m’ap̱u di ge ̱u xa m̱uhu ka ra muntsi hoi m’atha nu ka ra ngu di ge ra hoi. 
Mexican_constitution 	En caso de enajenación de parcelas se respetará el derecho de preferencia que prevea la ley. 	Num̱u da pa to da zokhuira hoi ge xi dar za̱ pa da mäti ne da n’u ra hmända. 
Mexican_constitution 	Dentro de un mismo núcleo de población, ningún ejidatario podrá ser titular de más tierra que la equivalente al 5% del total de las tierras ejidales. 	Nu mbo ka ra hnini. >Ni xi n’a ra jäi the ha̱i m’atha tsa̱ da ḏe ra ha̱i da thogi nu made di gea ḵut’a di ge gotho ya hoi m’ätha. 
Mexican_constitution 	En todo caso, la titularidad de tierras en favor de un solo ejidatario deberá ajustarse a los límites señalados en la fracción XV. 	Ge num̱u nuä to the ra ha̱i ge jäpi ma sü ra the hoi m’atha ge xi da i̱ot’e a ha da ts̱egi ngu mhää ra heke ret’a ma ḵut’a (xu). 
Mexican_constitution 	La asamblea general es el órgano supremo del núcleo de población ejidal o comunal, con la organización y funciones que la ley señale. 	Ya muntsi kongotho ya the hoi m’atha nu ka ra hnini ne ya the hoi t’̱oẖo ge xi koẖu ra za̱ ha danja di thoki ̱u xa thutsi ka ra hmända. 
Mexican_constitution 	El comisariado ejidal o de bienes comunales, electo democráticamente en los términos de la ley, es el órgano de representación del núcleo y el responsable de ejecutar las resoluciones de la asamblea. 	Nu ra ts̱utbi nuya ha̱i ne ra ts̱utbi nu ya t’̱oẖo, ge xi xa t’etsi m’a nho ngu xa mhää ra hmända, ge n’u ra muntsi mp̱ote ne ja ma sü pa da nu ne da hoki ra za̱ m’ät’i muntsi. 
Mexican_constitution 	La restitución de tierras, bosques y aguas a los núcleos de población se hará en los términos de la ley reglamentaria; 	Ra nthembi ha̱i, t’̱oẖo ne dehe nu ka made ra hnini ge xi da hoki xa nho ngu jä ä xa nẕotse mhää ra hmända thutsi; 
Mexican_constitution 	VIII. Se declaran nulas: 	VIII. Da mhää ra xa̱ni: 
Mexican_constitution 	a) Todas las enajenaciones de tierras, aguas y montes pertenecientes a los pueblos, rancherías, congregaciones o comunidades, hechas por los jefes políticos, Gobernadores de los Estados, o cualquiera otra autoridad local en contravención a lo dispuesto en la Ley de 25 de junio de 1856 y demás leyes y disposiciones relativas; 	a) Gotho da rembi ya ha̱i, dehe ne ya t’̱oẖo ̱u ya m̱eti ya hnini, ya mengu ka m’ätha, ne ma ra ya muntsi ne ya hnini, xa noki ya ndä nzaya hñänsümp̱ote, ya dänga nzaya ka ra x̱eni hnini M’onda̱, ne ha nu to ma n’a ra nzaya mup̱u ka ra x̱eni hinda ne da hoki ̱u xa hnutsi ra hmända ra n’ote ma ḵut’a (25) ra zänä rato ra n’a m’o hñäto moho n’ote ma ḵut’a (1856) ne mara ya hmända ̱u xa thuxp̱u ma ra: 
Mexican_constitution 	b) Todas las concesiones: composiciones o ventas de tierras, aguas y montes, hechas por las Secretarías de Fomento, Hacienda o cualquiera otra autoridad federal, desde el día primero de diciembre de 1876, hasta la fecha, con las cuales se hayan invadido y ocupado ilegalmente los ejidos, terrenos de común repartimiento o cualquiera otra clase, pertenecientes a los pueblos, rancherías, congregaciones o comunidades, y núcleos de población. 	b) Gotho ya thuni ns̱eki: Ha da xoni ua da m’o ya ha̱i, dehe ne t’̱oẖo, xa hoki ra nguint’ofo ha jot’i ya bojä ua ne m’a n’a ra muntsi nzaya M’onda̱, nu ra n’a ra pa ra zänä ṟet’a ma yoho di ge ra n’a m’o hñäto hñu n’ote ma rato (1876). >Ne gepia ya pap’ia, ge xi xa y̱ut’i ne xi xa nthembi ya hoi m’atha ni xi majuani ya jäi, the, ya hoi t’̱oẖo xi xa ts̱eki di geny̱u mup̱u, ne ya meti ya hnini, ya mengu ka m’ätha, ne ma ra ya muntsi ka ya hnini, ne ma ra ya jäi hnini. 
Mexican_constitution 	c) Todas las diligencias de apeo o deslinde, transacciones, enajenaciones o remates practicados durante el período de tiempo a que se refiere la fracción anterior, por compañías, jueces u otras autoridades de los Estados o de la Federación, con los cuales se hayan invadido u ocupado ilegalmente tierras, aguas y montes de los ejidos, terrenos de común repartimiento, o de cualquiera otra clase, pertenecientes a núcleos de población. 	c) Gotho ̱u to nu ra za̱ ne ts̱eki da hogi ra za̱, da m’o hoki nu ya pa̱u di thogi nu ngu mhää ra heke m’etho, ge ̱u ñ’oẖu, ya ts ut bi ne ma ra ya nzaya di ge ka ya x̱eni hnini gotho M’onda̱, nu to xa hñämbi ne xa ndembi ya ha̱i ne hi xa hoki ra za̱ di ge ya m’atha, ne ma ra ya ha̱i ̱u xi fadi pa di s̱eki, ne ko ma ra ̱u mup̱u, di se̱u m̱ui ka ra x̱eni hnini. 
Mexican_constitution 	Quedan exceptuadas de la nulidad anterior, únicamente las tierras que hubieren sido tituladas en los repartimientos hechos con apego a la Ley de 25 de junio de 1856 y poseídas en nombre propio a título de dominio por más de diez años cuando su superficie no exceda de cincuenta hectáreas. 	Ge xi xa ngohi ne xi xa xoni ra m̱et’o, ge hens̱e da metsi ya ts̱edi ya hoy nu̱u to p̱etsi ya thuẖu ne üni ngu ja ä xa hnutsi ngu mhää ra hmända ra n’ote ma ḵut’a ra j̱eya n’a hñäto yoho n’ote ra ḵut’a ne rato j̱eya ne töm’i pot’i ge xi iñ’ehe xa p̱u ne mithe ko ya thuhu ne ya xi dom’i xangu xa tho ṟet’a j’̱eya num̱u za thuni ko ra nxidi ne hinda thogi x̱o ngu ra nxidi di ge yoho n’ote ne ṟet’a ya hoi nxidi. 
Mexican_constitution 	IX. La división o reparto que se hubiere hecho con apariencia de legítima entre los vecinos de algún núcleo de población y en la que haya habido error o vicio, podrá ser nulificada cuando así lo soliciten las tres cuartas partes de los vecinos que estén en posesión de una cuarta parte de los terrenos, materia de la división, o una cuarta parte de los mismos vecinos cuando estén en posesión de las tres cuartas partes de los terrenos. 	IX. Nu made ä to da x̱epi ge ä to xa hoki pa xi da mfädi ka ya muntsi hnini ne di ge ̱u xa xoni ne ya hinte mui, ge xi dar za̱ pa da n’u ham̱u da t’odi ya hñu ne goho ya m̱eti di ge’ya mengu n’ang̱udi nu̱u to m̱ui ko n’a ra ẖem’i thoti di ge ya hoi, ge ya m̱eti ra heki made, ko goho made di ge ya mengu n’ang̱udi num̱u the digeh’ia xa hñu ne goho m̱eti di ge ya hoi. 
Mexican_constitution 	X. (Se deroga) 	X. ( Xa theki) 
Mexican_constitution 	XI. (Se deroga) 	XI. (Xa theki) 
Mexican_constitution 	XII. (Se deroga) 	XII. (Xa theki) 
Mexican_constitution 	XIII. (Se deroga) 	XIII. (Xa theki) 
Mexican_constitution 	XIV. (Se deroga) 	XIV. (Xa theki) 
Mexican_constitution 	XV. En los Estados Unidos Mexicanos quedan prohibidos los latifundios. 	XV. Nu ka ya x̱eni hnini M’onda̱ ge koni ni xi da y̱ut’i ya t’axjäi. 
Mexican_constitution 	Se considera pequeña propiedad agrícola la que no exceda por individuo de cien hectáreas de riego o humedad de primera o sus equivalentes en otras clases de tierras. 	Ge xi xa nu ge ra cẖulo ha̱i mpot’i nu̱u hingi thogi ya jäi di ge n’a thebe huani ha̱i, ̱u the pa da ñunthe ne xa nk’ä ge di nḏui da ñ’a ha xi nheui kon ge ma n’a ya ha̱i. 
Mexican_constitution 	Para los efectos de la equivalencia se computará una hectárea de riego por dos de temporal, por cuatro de agostadero de buena calidad y por ocho de bosque, monte o agostadero en terrenos áridos. 	Pa da nfädi ha da nja di ñu ge da thoki k ara bojä nfädi n’a nthebe huani ̱u da nunhte konge yoho ̱u hingi n’unthe, di ge goho ̱u xi x aza ya hoi ne x̱o ñätho ya hoi mbo xi za, t’̱oẖo ne ya hoi ‘yot’i. 
Mexican_constitution 	Se considerará, asimismo, como pequeña propiedad, la superficie que no exceda por individuo de ciento cincuenta hectáreas cuando las tierras se dediquen al cultivo de algodón, si reciben riego; y de trescientas, cuando se destinen al cultivo del plátano, caña de azúcar, café, henequén, hule, palma, vid, olivo, quina, vainilla, cacao, agave, nopal o árboles frutales. 	Xi xa ñu, gense̱u, ge xi ya cẖulo ha̱i, ñu ̱u hinda thogi di ge yoho n’ote ma ret’a the hoi num̱u xi xa mpot’i nu̱u xa ntudi, ha thuni ra nthunhe; ne ge hñu nthebe, num̱u xi ẖo ya m’ot’i däzä, t’äfi nḏux’yo, ko ra thoki mpoxi dene, keneke nailo, za dathe, vid, olivo, quina, vainilla, cacao, ñethi, zäthä ne ya za ixi. 
Mexican_constitution 	Se considerará pequeña propiedad ganadera la que no exceda por individuo la superficie necesaria para mantener hasta quinientas cabezas de ganado mayor o su equivalente en ganado menor, en los términos que fije la ley, de acuerdo con la capacidad forrajera de los terrenos. 	Ge xi xa nu ge ya cẖulo hoi züe nu ̱u hingi thogi ya jäi nu̱u ya hoi nxidi jär m̱edi pa di tsi xa ḵut’a nthebe ya zu̱e ge xa ngu nu̱u jä ya ntäṯe xa ngu, nu̱u xi xa nu ne xi xa mhää ra hmända, di gen’u ya ts̱edi pa da xa̱tsi ya ntsi mboni ka ya huani. 
Mexican_constitution 	Cuando debido a obras de riego, drenaje o cualesquiera otras ejecutadas por los dueños o poseedores de una pequeña propiedad se hubiese mejorado la calidad de sus tierras, seguirá siendo considerada como pequeña propiedad, aún cuando, en virtud de la mejoría obtenida, se rebasen los máximos señalados por esta fracción, siempre que se reúnan los requisitos que fije la ley. 	Num̱u ya bi nja ra nthunde, ya nünthe dehe p̱oni ka pii ua ne ko ma n’a ra dehe ̱u ri ñünthe nu ya metí hoi ua ge ̱u to the ya cẖulo hoi ge pa xi dar za ya hoi, ge xi da nutho pa dar tsi za ya cẖulo ha̱i, ha nem̱u, ge xi nembi ra za. >Pa di ḇose xa nhio ̱u di ñiep̱u, ne hinda thogi xangu di ge ̱u xa ñ’u di gen’a ra heke, num̱u xi xa muntsi nu̱u ko te xa n’u di geä mhää ra hmända. 
Mexican_constitution 	Cuando dentro de una pequeña propiedad ganadera se realicen mejoras en sus tierras y éstas se destinen a usos agrícolas, la superficie utilizada para este fin no podrá exceder, según el caso, los límites a que se refieren los párrafos segundo y tercero de esta fracción que correspondan a la calidad que hubieren tenido dichas tierras antes de la mejora; 	Hanja num̱u n’a ra cẖulo ha̱i züe xi xa hoki r aza nu ya ha̱i ne nuya xi xa mp̱efi pa di mot’i, nu ra nxidi ä ko te hoki pa gehia xa mfeni ge hingi tsa da de xangu, ge ä mhää ha ts̱egi ngu jÄ ä xa ñutsi ya heke yoho ne hñu di gen’a ra heke di geṉu to xi nu pa xi dar za di ge ̱u xa thuni di ge ya hoi m̱etho da hogi. 
Mexican_constitution 	XVI. (Se deroga) 	XVI. (Xa theki) 
Mexican_constitution 	XVII. El Congreso de la Unión y las legislaturas de los estados, en sus respectivas jurisdicciones, expedirán leyes que establezcan los procedimientos para el fraccionamiento y enajenación de las extensiones que llegaren a exceder los límites señalados en las fracciones IV y XV de este artículo. 	XVIII. Ya muntsi ñ’ä pa genguẖu ne ya ngu nzaya mp̱ote nu ka ya x̱eni hnini, di gemp̱u ha ts̱egi ya hnini ge xi da ia̱di ya hmända di ge ̱u ya xa tutsi na da nja di m’äp̱u di ge ra ya neke ne ̱u xa n’an’yo di ge ha gotho k ara nxidi x̱eni ne di gemp̱u ha täpi ns̱eki ngu jä ä xa hñutsi ra heke goho ne ṟet’a ma ḵut’a (VI y XV) di geñ’a ra x̱e 
Mexican_constitution 	El excedente deberá ser fraccionado y enajenado por el propietario dentro del plazo de un año contado a partir de la notificación correspondiente. 	Num̱u xi dar ngu ge xi da theke ne n’anyo di ge ̱u to ya m̱eti ge tsa da un xa n’anj̱eya di ge ra paä xa zipi. 
Mexican_constitution 	Si transcurrido el plazo el excedente no se ha enajenado, la venta deberá hacerse mediante pública almoneda. 	Num̱u xi da thogi ya pan e hingi pädi, un ra m’o ge dar za pa da hoki pa da mfadi ra njüti. 
Mexican_constitution 	En igualdad de condiciones, se respetará el derecho de preferencia que prevea la ley reglamentaria. 	Nu rangutho di ge ̱u xi da ñ’̱u ra za ̱u ya metsi rangutho di ge ra mhää ra nzaya ̱u xa mup̱u. 
Mexican_constitution 	Las leyes locales organizarán el patrimonio de familia, determinando los bienes que deben constituirlo, sobre la base de que será inalienable y no estará sujeto a embargo ni a gravamen ninguno; 	Ya hmända mup̱u ka tsihnini da ñ’embi ra m̱et’i ya mengu, di gätsi ya m̱et’i ̱u xa thoki ra za di ge ̱u ya thuxp̱u pa di huadi ne pa hinda dembi ya ha̱i ne hinte da gambi n’a̱u; 
Mexican_constitution 	XVIII. Se declaran revisables todos los contratos y concesiones hechas por los Gobiernos anteriores desde el año de 1876, que hayan traído por consecuencia el acaparamiento de tierras, aguas y riquezas naturales de la Nación, por una sola persona o sociedad, y se faculta al Ejecutivo de la Unión para declararlos nulos cuando impliquen perjuicios graves para el interés público. 	XVIII. Ge xi mhää ge xi da ñ’u gotho ya tẖot’e ẖem’i mp̱ote ne ya thüni di ge ̱u xa hoki ya nzaya m̱etho nura j’̱eya di ge n’a m’o hñätho hñu n’ote ma r’ato (1876), nu̱u xpä thuni ne gi xi xanja ra tuhni di ge ya ha̱i, dehe ne ̱u xi p̱etsi p̱u ̱u xi jap̱u ka ha̱i M’onda̱, di ge n’atho ra jäi ne ko ya hnini, ne ge xi ra ṯedi ra muntsi nda nzaya goptho pa da mhää ndähä ̱u m̱edi num̱u ya xi xa ütsa ne da tumbi ya boja nu̱u xi ne gotho ya hnini. 
