ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	Mis paisanos se va a inclinar usándolo y sirviéndolo para que lo entienda.	Ayero ibajiro jero isarentsite ashaninka asampiyetakeri
ShaShiYaYi 	La espina picó a ⁇  en el agua, allí le convirtió en pescado, kempiri.	Iñabakerira Nabireri miajetanaka nijaki, ari ipianakari shima, kempiti
ShaShiYaYi 	El picaflor mató a una yuca que había matado a tres monos, demasiado, no sabía por qué lo que había hecho la mujer	Apiteroka koshinti ijaabetaka kaniri itsokabetakari mabaki koshitaari, kantimaitacha, te iyobentakojeitya betsikaka ashaninkape jairikaitantyariri
ShaShiYaYi 	En eso estaba mi paisana que ahorcó en la cueva	Ari ikantiro ashaninka yamakobentantarori ibankirepe
ShaShiYaYi 	El súngaro pescado de las patas de la palometa comió los pescados de mi papá que está en mi chacra.”	mamori shima kitotsa chomenta kobiri iyotsi Nobametsatajero nantabaire nontsipatyari notsipamintsare ejati obametanari
ShaShiYaYi 	Tus historias son esenciales para tu salud y tu vida	Pisankenatajero kenkitsarentsi pobetsikakotakeri impoiji pishiyakantakotero
ShaShiYaYi 	Los árboles frutales son los que causan divisiones entre los árboles y los que tienen árboles frutales. Estos son los que causan divisiones entre los árboles.	Iro kantacha meka ashaninka ishimayeti, ikobintsayeti, yayetiro inchatope, ichakiyetiro inchatope irantantyari irobanepe ari ijatanake ikaraiteanakero te inkenkishireajeroji, te inkisakobentajeroji, te intikakobentajeroji inampi, ipatsite maroni timimotiriri
ShaShiYaYi 	El hacha está lista para decir: “Para qué está bueno el hacha?”	Ñanarentsiki okanti "te añajero inchatope"¿Paita shiyakabentachari?
ShaShiYaYi 	Mira las medidas que has puesto para proteger a los animales del mar	Pamenero shiyakantsi picharinkeri jaoka ikantiriri shimape inkisotantyari
ShaShiYaYi 	Imperialistas, viéndolos vender a su pueblo durante el tiempo, por qué se regocijan	Amenakoyetero maroni yantajeitiri inampiki osarentsiki, paita ikimoshirebentayetari
ShaShiYaYi 	El jefe de la planta les dijo a los sacerdotes: “ ¿Dónde está el captador?” ¿Cuál de los resultados es el nuevo?	Akenkitsajeite okarati ayotakeri akimaintyaro sampitantsi: ¿Jaoka otimika akobiri ayoteri etantanakarori obakeraini?
ShaShiYaYi 	El jefe de los Estados Unidos Mexicanos dice:	Pisankenatero pikenkishiriari okantiri ñanarentsi
ShaShiYaYi 	La mujer miró su lápida, su silbido, dámelos para vestirlos. Cuando le dieron el nombre al hermano para que le cortara el hilo y le pegara, así fue como se enseñó la ropa.	amenake tsinane, okantiri, pimpena nokitsatyari, Ari meka Ametyo opakero ibenki impoiji omampetsate aisati okishokabakotakero okirikantyari, ari okanta okonijatantakari kitsarentsi
ShaShiYaYi 	Y junto con ellos estaba la tienda de campaña, llamada el Lugar Santísimo.	Je, aisati sankiro itimakoyeti iriniro kempetachari antarope inchato pajitachari tiniroki irotake oshentayetiri maroni abayetari
ShaShiYaYi 	En la gestión de la niñez, la gestión de los proyectos afecta a los aspectos que acompañan a la sostenibilidad	Piñabentakayeri jananekipe okantakota iyotiri aayetiri ariorika ajate ashimajeitya
ShaShiYaYi 	Le avisó tres días, tiene tres días para seleccionar los animales para su selección, así ella los mide por su testamento, pero todos los datos de nuestros abuelos son reales.	Yookitsityaanero maba kitaiteri, tekeraata ijateeta yante (irante) ibankoshi, okantyaakia iroori Oitaasato ompiri obira Omaperotatya ikantiri acharinepe
ShaShiYaYi 	El pájaro pregunta por ti.	Pikemisanteri pitsipamintsare isampitemi, pakimaityari
ShaShiYaYi 	En cambio, se declaran culpables los 55 min. Navegantes o capataces que declaran 4 m.	Iroma osantsatenkati okarati 55m ejati ikobi intantotero, ibatikayetiro tinkamitsi 3 m
ShaShiYaYi 	Cállense de agua.”	Amajeretakotero eiro asantiya, asantiya
ShaShiYaYi 	Ella le dijo [a su esposo] que vayan a pescar	Aisatsi Ipapajiri kari jatatsini ishimatya
ShaShiYaYi 	Las arboledas de los árboles "Kio" o "Opariashi" o "aguastar" o "aguas" de los árboles son imprevisibles.	Otyakiyeti inchato Kiarontsi Opariashiti inchato Aririka aretakia otyakiyeti inchato eiro okatsinkaitetaji
ShaShiYaYi 	Todo un hombre comenzó a sembrar leña en el árbol llamado: “ Jiribatiki, este es el tronco que cayó en el hueco de un árbol, y muy grande es la planta que cayó muy lejos.	Maaroni ashaninka shirampari inchekayetaki tsitsi iroperori inchato, pajitachari: Jiribatiki, asankane tsonkitiroki, irooyetaki paamatsiri osheki, omoreki antyaro, eiro otsonkitsita ontaiya
ShaShiYaYi 	¿Por qué habrá de seguir nuestro malestar?	¿Paita abisatsine anampiki eirorika abetsikayetaji betsikairentsipe?
ShaShiYaYi 	¿Cuál es el índice de captación más cercano al de la basura?	¿Jaoka opajiyetari chochokipe antamisato yatsoitiri?
ShaShiYaYi 	Visualización de tu territorio nacional construyendo los lineamientos establecidos en el artículo 6 de la Constitución Política de los Estados Unidos Mexicanos.	Ankempoyero aipatsite timatsiri anampiki Antayetero ainijantyarori ayotakeri 6 Apatotantatsiri Ankoyayete obaritentsi timatsiri antamishiki 7 Apatotantatsiri Yotantsi
ShaShiYaYi 	Los recursos naturales son de uso productivo, teniendo en cuenta los usos y costumbres	Amonkaratantyari otime ayotero paeta kobayetachari
ShaShiYaYi 	los parámetros de eficiencia son el uso de establos en el pueblo	irobantyarori ñakarontsi ara pankenatantsipe ashi monkarantsipe jero kantimoyetiri inampiki
ShaShiYaYi 	Cayó la lluvia, le dijo a su hijo: “Hijito, vámonos a su casa, para que no se desmaye.”	Aikerora opari inkani, ikantiri itomi: "Notomi, tsame ajataje abankoki, amantsiyatapaintikari"
ShaShiYaYi 	EL paujil samanyo y samaño es lo que le da la impresión de que el paujil Ujilva usurpa su uña. Cuando la ven, la hacen pasar por la escalera, construyen; construyen; construyen; construyen; construyen.	SABIR samani kaniri samani sabori tsamiri tsomiri TSAMIR atsimiriki tsamiri Pashitakotakerora ibajiro shiyakantsi, pamenajero pantakeri pitsipatyari pitsipamintsare, pobetsikajero, okoarika pobetsikajero
ShaShiYaYi 	¿Por qué ha ocurrido otra casa?	¿Paitatya kari otimanta pashini pankotsi?
ShaShiYaYi 	El ⁇  es un ejemplo para el buen funcionamiento de la comunidad y el buen gobierno.	Ontimatiye apatiyabakayaro kametsa yotantsipe anampiki aisati yotantsipankoki
ShaShiYaYi 	No le digas a tu padre ni a tu madre: “ Tus pecados han sido perdonados ”;	Eiro pipiakotaro poinijayeri piri, piniro maroni piyoyetakeri yotantsiki
ShaShiYaYi 	El cazador mordió a alguien	Atsonkakerika añanati
ShaShiYaYi 	Cuando ven pescador de colores, allí lo pescan	Arika iñapakeinchatope shebayetachari, ari yobetsikaperi obashirontsi
ShaShiYaYi 	La finca	Ayojeiteri maroni
ShaShiYaYi 	– Se trata de una antorcha roja, como la que existe en el territorio nacional, y el fin de las cosas que son importantes para nuestro territorio.	Abetsikajeite apani tsaparontsi tsika okantakota anampi, oinijaeya maroni saikatsiri iroperotatsiri aipatsiteki
ShaShiYaYi 	La paloma lista lista lista el cutpe 158 civiles civiles	shironi tsiroti pishiti ibeto shikiri sharo 158 Pisankenate ñantsipeki poematsapari piyotakeri
ShaShiYaYi 	Mira este dibujo y pégalo en mi libro y debajo de la mesa	Pamenero shiyakantsi impoiji pishiyakantero tsaparentsi aisati oshabikini pisankenatero oshiyakabentari
ShaShiYaYi 	Después de dos días, vamos a pescar	Pitsikanatyaro 2 Opoña, impoña Tsame akenkitsajeite
ShaShiYaYi 	(A ver cómo se transformaban) Los cushmas se transformaron en jeta y en pescado	(Kenkitsarentsi pamenantyari) Kenkitsarentsi ipeantanakari Jetari aisati yora Shima
ShaShiYaYi 	La fiesta de los tabernáculos se celebra en las ocho estrellas del cielo	Abetsikajeitero aparoni ikantajeitakeri abametsatantajearori oipatsite yotantsipanko
ShaShiYaYi 	LA HISTORIA NACIONAL DEL SU CUARTO	YOTANTS Ankempoyero aipatsite timatsiri anampiki Noñanatero okenkitsatakotiri koya
ShaShiYaYi 	¿Quién ha salido el hombre del agua?	¿Janika iñakeri shirampari nijaki icharijatantaitari?
ShaShiYaYi 	Se dice que nuestro paisano ha llenado el universo y es un árbol al que le hemos hecho daño no está enfermo ya está esfumado	Ikantakota ashaninka ari itsonkarantakeri poshinirintsi, inchatoshi irotake aneantakarori te intimasanotajeji ari ipeayetanake
ShaShiYaYi 	Machake Machaki es el monje de mi paisano que tiene que amontonar yuca en su casa.	Machakipe Machaki irotake ibanaro ashaninka ichopiyetantaro kaniri ikibante abankoki
ShaShiYaYi 	Los hormigueros venían en su chacra [en el hueco] de la hoja, para no tener ropa buena para las plantas.	Ari ipokayeti mankareto ibamatsitapakero oshi, ero otsamenta kametsa pankirentsi
ShaShiYaYi 	¿La colección de la trampa?	¿Jaokatya yantetiro obirentsitatsiri?
ShaShiYaYi 	Certificación de la ciudadanía pública	Okantakotiro jaoka okantabaita nampitsi Yorini
ShaShiYaYi 	¿Qué estaba haciendo el hombre?	¿Paita ibayetari piratsipaye?
ShaShiYaYi 	Allí lo quemó.	Aitaki antakiro
ShaShiYaYi 	El jefe de los campos de trabajo habla con la gente de la escuela	Piñanatero kenkishiriantsipaye opoña pisankenatero Je teerika Te okantakotiri kamantantsi piñanatakotakeri
ShaShiYaYi 	¿Es la sal y el pescado?	¿Ari oshiyabaka katyokantsi aisati shinkobarentsi shima?
ShaShiYaYi 	Lo que hemos hecho es ensuciar nuestro trabajo y nuestra forma de pensar	Tsame akamantayeteri ashaninkape akoyetakeri antabereki iyotantyari aisati inkenkishiriantyari
ShaShiYaYi 	La captación, el hueco y la altura	Jaoka obinteniti aisati otonkaityi
ShaShiYaYi 	Enseñarle a tu cuñado, no lo comas, si no vas a sanar.	Obakerarika pikentabete, eiroya pobaritsi, ari piperatanakeari
ShaShiYaYi 	Consejos de mi paisano Maonario	Irampatojeitatyeya ashaninka Maonarisati
ShaShiYaYi 	El cutpe estaba sentado hojas de humiro	Yoisotake koni(5) oisoro kompiroshi
ShaShiYaYi 	La sal para sacar pescado, sal, sal y pescado	Akatyokantyari shima aye tibi jeri shima
ShaShiYaYi 	No se burlen de él ni se avergüencen a causa de ninguno de ustedes, porque los que dicen ser apóstoles son unos ladrones.	Eiro piñabaiporokititsi, piñabentakotero pikenishiriajeitakari, kemetachari okantakota obetsikia pankotsi
ShaShiYaYi 	Donde hay chicha de frijol para los separatistas	Tsika otonkaityi tsika otimi katsinkaiteri jashitatiro ibankopaye
ShaShiYaYi 	Pero el que odia a su hermano es un asesino, y por eso lo aborrece.	Pikenkitsajeite pitsipatyari pitsipamintsare: ¿Paita yantajeitiri ashaninkape shiyakantsipeki?
ShaShiYaYi 	El banco no va a comprar ni algo de comer, ni va a echar espuma por la boca, ni pescado, ni siquiera algo de beber.	Ebankari eiro yobarotsi irasankane poshinirintsi, ari itsarobashiyetanakea, ibinenkare shima, ari akeri iyatsinkane itoina poshinirintsi, eiro itonkiritsi iriori
ShaShiYaYi 	Visita nuestras historias historias	Piñanajeitabake apani kenkitsarentsi piyotantyarori tsika okantakota
ShaShiYaYi 	Mi paisano que se fue volando	Shiyajeitanaka ashaninka
ShaShiYaYi 	Los pescadores vienen en busca de patos y pescadores para pescar.	Ipokake Nabireri iñapakero maona jero koricha oñatsajeita
ShaShiYaYi 	Los comunales y los trabajadores, se solidarizan con uno de los pajaritos que les suministran y que les ofrece carne humana; la soberanía alimentaria, y sus correspondientes chacras arriba del cielo, de los que se dan más nuevos paradigmas a los demás.	Ipabakayeta yobarite, ariorika iroya aparoni tsimeri timatsi pashini obabakiarone yobariyayetiri; ikempeta marati yobaro shebantoki jenokiki yobariyayetiri irobajiaro pashinipe
ShaShiYaYi 	Miren! Él es el verdadero árbol de nuestra tierra, la raíz y la savia del mar.	Metaa Irooperori inchato saikatsiri tomirishiki, kitamaro obato, okamaraniinti aisati, oshi okantasantekeyitatya te antaroyite
ShaShiYaYi 	Las propiedades de los animales son superiores a las de los pájaros	Akematsatakayeri okanta abariperotantarori isaikayetira piratsipe aisati tsimeripe
ShaShiYaYi 	Después hay un abismo entre nosotros y ustedes, un abismo entre el monte, el río, y un abismo entre las aguas y lo profundo de los abismos.	Opoñantayetakari bajirontsipe aipatsiteki Maroni añayetiri aipatsiteki imperita, otishi, nija, omotonka, shiranta aisati oparijare timatsi obajirope ikantayetiro acharinepe
ShaShiYaYi 	En la ciudad, los que cobran la décima parte de sus bienes, se encargan de hacer justicia,	Pikanteri jananekipe ipajiriayetero obajiro aparope, ikantero jaoka okantayetari aparope impoiji paita ayero
ShaShiYaYi 	pajaritos, ¿es verdad que vas a ir?, hay plantas, armadillo, sajino, representante de la niñez, por eso va a jugar en la niñez demasiado para mí	tsimeri, ¿tsika pijateka?, timatsi eti, ashoshi, kitairiki, Pisankenatero ñantsipe shiyabakachari, ikanta iñabaijeti jananekipe kantimaitacha pashini okanta osankenata
ShaShiYaYi 	¿Qué dice el abuelo de tu pueblo? ¿Qué es lo que enseña?	¿Piñakobentiro ibetsikaitiro pinampiki?¿Paitakea?
ShaShiYaYi 	( ) El anciano oculta el adorno de su hija	( ) Antyashiparo b. Okoakakero amenantyarori ishinto pankotachari
ShaShiYaYi 	Allí muchos peces habían	Ari ikeantakearo osheki shimayetatsiri
ShaShiYaYi 	Entonces Abimeri, el abuelito, cantó a su nieto: “ ¿Qué es esto? ”, y el cerro se convirtió en un gran granero, y en el manantial de la ciudad de Maní.	Ari imontsakaro Abireri ikantiri icharine: "Nosari, ¿paita ojitari ora?" "Jaa irointi imperita." Ari opeanaka antaro imperita maroni ishipañori ipeanaka maniji irotake opajitantari meka Manijironi
ShaShiYaYi 	Un moco de gusano le pegó a la niña.	Pobetsikaje apani ñatsarontsi oshiyabetyaroni pantakeri
ShaShiYaYi 	Cómo está tu hijo en tu pueblo? ¿Cómo está él en tu casa? ”.	¿Irosati yobiiyeti pishaninka pinampiki?¿Paitakea?
ShaShiYaYi 	¿Por qué diseña aquel pajarito?	¿Paita yobantaitakariri oimishiriri tsimeri?
ShaShiYaYi 	Mis paisanos vivían en la tierra de nuestros paisanos	Ashaninka iyotinkari Tsinane iyotinkaro Ashaninka mainari
ShaShiYaYi 	¿Cómo es la tierra entre ellos cuando crece?	¿Tsika otimika pankirentsi itsipayetiri arika ampankibaete?
ShaShiYaYi 	Palomitas	Pishebatapinitero pakopaye
ShaShiYaYi 	Depende de su soberanía, antes no llegaban dos meses.	Pijateketi ikempetajakari chapinkiranki te iraretityaji apite kashiri
ShaShiYaYi 	De inmediato: “Voy a presentarme acompañado [de la compañía], y de inmediato concluyo el fin de todo”	Meka: ainijayeteri atsipayetari akenkishiriakari impoiji abetsikayetajero maroni onkantyarime anampi
ShaShiYaYi 	Las aves del cielo cayeron sobre la tierra, y los peces crecieron y la ahogaron.	Abetsike kitamapanaroki ojikotimaityaro chochokipe yobari atiripe, piratsipe aisati tsimeripe
ShaShiYaYi 	¿Qué debemos hacer para sembrar semillas de arboles?	¿Paita anteri tekera apankitanakero boorisaki oitsokipaye inchato?
ShaShiYaYi 	Kaniri: Es el verdadero paisano	Kaniri: irointi ibankiresanori ashaninka
ShaShiYaYi 	¿Cómo lo va a sanar rápidamente?	¿Paita amperiri irantsikantyari shintsini?
ShaShiYaYi 	Para sacar esas pepitas a su mamá yuca: Me deja comprar yuca en su chacra.	Pamenantyari yamanakotiro oniro kaniri: Meka namanempi oniro kaniri iroperoribeya (¡kisho, kisho, kishoooo!)
ShaShiYaYi 	Ellos rentaron su casa	Ari opianaja opankoki
ShaShiYaYi 	¿Acaso se encuentra allí la gente blanca del dueño?	¿Añajeitake ashaninka satonkayetachari iboroki?
ShaShiYaYi 	¿En qué rituales del verano?	¿Paita ipankiyetiri osarentsikika?
ShaShiYaYi 	El pájaro que viene	( ) Piñanatero impoji pisankenate
ShaShiYaYi 	Los niños que se encontraban en el pueblo	Iñabentakojeiteri sankiro piyantatsiri timaintsiri inampiki
ShaShiYaYi 	¿Cómo se ve el ropaje?	¿Paita aayetiri obashirontsitatsiri?
ShaShiYaYi 	PARA SER UN BUEN CAMBIÉN PARA SER UNA VERSANTE, NUEVO PARA SER MEJORES	Maroni piyobintsane pijibatiri ontimatiye pimpero pisaro terika piniro, te onkante poityari ari pimanonkajea eiro pikobintsatajitsi
ShaShiYaYi 	La entidades federativas que discurren por las aguas territoriales	Piñanajeitero betsikakotantsika piyotantyarori jaoka okanta obetsikakota, pisankenatantyarori
ShaShiYaYi 	Son las funciones del segundo, que es el segundo,	Irotake ashirotaki kisoperotatsiri katsini
ShaShiYaYi 	Es muy fuerte.	Kitairiki osheki iñantsi
ShaShiYaYi 	Traen los collares más gruesos, las flechas, los palos, las flechas y los instrumentos musicales	Jantayetiro iroperori amatsaerentsi, chekopi ikarinatiro itsapatiro okarati jantayetiri
ShaShiYaYi 	Ah, ahí estaba, bastante me mordió, rápidamente corrió para tomar otro	Isha, jeri kitotsape, osheki yatsikatimotana, shintsipaini payeri, najanteta pashini
ShaShiYaYi 	Tenemos que restituir lo que es bueno y liviano	Ontimatye amenakotero paita okametsatantakari tempa okametsateji
ShaShiYaYi 	Váyase al bosque para flotar los pedazos de palos que son pequeños.	Pijate pashiromashiki pishibiriamaintya pashirotsa poisotantyarori tsiperi
ShaShiYaYi 	Le pregunta a mi paisano: “¿Por qué te has pasado otra cosa?”	Nosampitiri ashaninka: ¿Paita kari pipankitanta pashini pobayetyari?
ShaShiYaYi 	Decláralo de la abuela Iroshimira Nampitsiki Chamiriri, quien es la abuela Iroshimira.	Ayotakotero isha Iroshimira Nampitsiki Chamiriari, osaiki isha Iroshimira
ShaShiYaYi 	Mi cuñado viene a visitarme	Ani ari nopoki nonempi
ShaShiYaYi 	Muy temprano: voy a dormir [en el cerro].	Tonkariki: Notonkairo otsishi tonkariki
ShaShiYaYi 	Medicinal del Ministerio del Ambiente	Antayetantsi Atiri Yantabaiti Antayetantsi charine Atiri obaneki
ShaShiYaYi 	Esta yuca la suciedad de la carne que viven adentro de la boca, del árbol de ceniza, cuando la mujer (el gallo) hace trabajar a su hijo, la carne se hace en la garganta del hombre.	Oka kanirisama aabintiro patsarontsi saikatsiri intsomai amotyaaki, asheetoki, aririka intotaitero kooya (tsinane) yantaityanerori eentsite, patsaarontsi saikatsiri itsinimentoki shirampari
